Elevator Call,4.181791417,-7,-4,10,8
Elevator Call,9.088234751,-8,24,10,3
Elevator Call,23.23592412,-5,-3,10,9
Elevator Call,25.40148987,-4,86,10,4
Elevator Call,26.51034155,-3,-4,10,0
Elevator Call,47.13611508,-4,93,10,1
Elevator Call,48.17946318,-7,5,10,5
Elevator Call,59.41774734,-6,16,10,7
Elevator Call,59.88328914,-1,95,10,2
Elevator Call,61.94089619,-3,60,10,6
Elevator Call,65.68076514,-2,61,10,9
Elevator Call,75.72747458,-3,78,10,4
Elevator Call,80.54056995,-1,-2,10,8
Elevator Call,81.8361088,-4,71,10,1
Elevator Call,82.22215324,-4,84,10,5
Elevator Call,82.93671013,-4,46,10,2
Elevator Call,92.10943365,-8,49,10,3
Elevator Call,95.13692147,-5,2,10,6
Elevator Call,103.5004013,26,49,10,7
Elevator Call,121.3434097,-5,-1,10,0
Elevator Call,123.8090976,-8,-7,10,8
Elevator Call,132.1102171,-2,-3,10,8
Elevator Call,132.774248,-8,11,10,5
Elevator Call,133.0964944,-6,-5,10,9
Elevator Call,139.3519589,-6,24,10,3
Elevator Call,140.0777448,-7,-9,10,0
Elevator Call,158.5773179,-2,55,10,2
Elevator Call,162.5783865,-3,17,10,7
Elevator Call,163.9130882,50,66,10,1
Elevator Call,166.5792335,14,-9,10,4
Elevator Call,171.1320552,-3,96,10,0
Elevator Call,173.2386182,-3,93,10,6
Elevator Call,175.2586539,80,90,10,1
Elevator Call,176.0558444,-4,-6,10,9
Elevator Call,180.324503,-1,97,10,2
Elevator Call,191.6681651,-6,41,10,6
Elevator Call,193.1424188,-4,80,10,4
Elevator Call,194.5707568,-7,55,10,3
Elevator Call,196.8933046,0,74,10,5
Elevator Call,199.3533828,-5,-7,10,7
Elevator Call,202.0588368,2,81,10,4
Elevator Call,213.0692934,-1,2,10,5
Elevator Call,214.1709874,-1,55,10,2
Elevator Call,229.6291324,20,34,10,6
Elevator Call,230.3311762,-6,3,10,7
Elevator Call,234.1884667,-8,63,10,9
